Team,Home.R12,Seed
Louisville,1,1
UIC,0,64
Ball St.,0,64
Michigan,0,64
Miami (FL),0,64
South Alabama,0,64
Florida A&M,0,64
Florida,1,16
Ohio St.,1,9
Howard,0,64
North Carolina,0,64
Tennessee,0,64
Western Ky.,0,64
South Carolina,0,64
The Citadel,0,64
Georgia Tech,1,8
Baylor,1,5
A&M-Corpus Christi,0,64
Northern Colo.,0,64
Washington St.,0,64
Stanford,0,64
Iowa St.,0,64
South Dakota,0,64
Minnesota,1,12
UCLA,1,13
Fairfield,0,64
Pepperdine,0,64
UCF,0,64
Texas Tech,0,64
FGCU,0,64
Colgate,0,64
Wisconsin,1,4
Pittsburgh,1,3
UMBC,0,64
Towson,0,64
Penn St.,0,64
Oregon,0,64
Kansas,0,64
Ole Miss,0,64
Creighton,1,14
BYU,1,11
Boise St.,0,64
Utah Valley,0,64
Utah,0,64
Marquette,0,64
Dayton,0,64
Illinois St.,0,64
Purdue,1,6
Kentucky,1,7
Southeast Mo. St.,0,64
West Virginia,0,64
Illinois,0,64
Florida St.,0,64
Kansas St.,0,64
Campbell,0,64
Nebraska,1,10
Washington,1,15
Brown,0,64
Hawaii,0,64
Mississippi St.,0,64
San Diego,0,64
Rice,0,64
Sacred Heart,0,64
Texas,1,2
